,DATETIME,Level
6946.225977,2017-09-01T07:09:00,6946.225977
6949.867871,2017-09-01T07:10:00,6949.867871
6952.422754,2017-09-01T07:11:00,6952.422754
6956.563477,2017-09-01T07:12:00,6956.563477
6961.966602,2017-09-01T07:13:00,6961.966602
6967.135234,2017-09-01T07:14:00,6967.135234
6970.07168,2017-09-01T07:15:00,6970.07168
6976.091797,2017-09-01T07:16:00,6976.091797
6982.385954,2017-09-01T07:17:00,6982.385954
6987.973047,2017-09-01T07:18:00,6987.973047
6991.215267,2017-09-01T07:19:00,6991.215267
6995.44375,2017-09-01T07:20:00,6995.44375
6999.379053,2017-09-01T07:21:00,6999.379053
7003.049829,2017-09-01T07:22:00,7003.049829
7006.227344,2017-09-01T07:23:00,7006.227344
7009.716016,2017-09-01T07:24:00,7009.716016
7016.705566,2017-09-01T07:25:00,7016.705566
7022.578906,2017-09-01T07:26:00,7022.578906
7027.864922,2017-09-01T07:27:00,7027.864922
7030.852539,2017-09-01T07:28:00,7030.852539
7034.902751,2017-09-01T07:29:00,7034.902751
7038.524658,2017-09-01T07:30:00,7038.524658
7043.370361,2017-09-01T07:31:00,7043.370361
7047.041585,2017-09-01T07:32:00,7047.041585
7051.226318,2017-09-01T07:33:00,7051.226318
7054.676758,2017-09-01T07:34:00,7054.676758
7061.812451,2017-09-01T07:35:00,7061.812451
7068.184814,2017-09-01T07:36:00,7068.184814
7073.177124,2017-09-01T07:37:00,7073.177124
7074.498657,2017-09-01T07:38:00,7074.498657
7078.169434,2017-09-01T07:39:00,7078.169434
7083.235229,2017-09-01T07:40:00,7083.235229
7088.472168,2017-09-01T07:41:00,7088.472168
7091.310994,2017-09-01T07:42:00,7091.310994
7094.394043,2017-09-01T07:43:00,7094.394043
7101.882894,2017-09-01T07:44:00,7101.882894
7107.633993,2017-09-01T07:45:00,7107.633993
7113.654053,2017-09-01T07:46:00,7113.654053
7116.199219,2017-09-01T07:47:00,7116.199219
7119.747477,2017-09-01T07:48:00,7119.747477
7122.512939,2017-09-01T07:49:00,7122.512939
7127.578552,2017-09-01T07:50:00,7127.578552
7131.39624,2017-09-01T07:51:00,7131.39624
7133.818726,2017-09-01T07:52:00,7133.818726
7141.160156,2017-09-01T07:53:00,7141.160156
7148.061279,2017-09-01T07:54:00,7148.061279
7152.686401,2017-09-01T07:55:00,7152.686401
7155.843262,2017-09-01T07:56:00,7155.843262
7158.48645,2017-09-01T07:57:00,7158.48645
7162.450684,2017-09-01T07:58:00,7162.450684
7166.672729,2017-09-01T07:59:00,7166.672729
7171.750814,2017-09-01T08:00:00,7171.750814
7173.720642,2017-09-01T08:01:00,7173.720642
7178.456055,2017-09-01T08:02:00,7178.456055
7184.989827,2017-09-01T08:03:00,7184.989827
7192.649414,2017-09-01T08:04:00,7192.649414
7195.635254,2017-09-01T08:05:00,7195.635254
7199.306396,2017-09-01T08:06:00,7199.306396
7200.970418,2017-09-01T08:07:00,7200.970418
7204.53374,2017-09-01T08:08:00,7204.53374
7207.749146,2017-09-01T08:09:00,7207.749146
7211.552051,2017-09-01T08:10:00,7211.552051
7214.870605,2017-09-01T08:11:00,7214.870605
7217.611328,2017-09-01T08:12:00,7217.611328
7221.55131,2017-09-01T08:13:00,7221.55131
7226.323242,2017-09-01T08:14:00,7226.323242
7230.992578,2017-09-01T08:15:00,7230.992578
7235.793945,2017-09-01T08:16:00,7235.793945
7237.580078,2017-09-01T08:17:00,7237.580078
7242.18103,2017-09-01T08:18:00,7242.18103
7243.600464,2017-09-01T08:19:00,7243.600464
7246.879679,2017-09-01T08:20:00,7246.879679
7248.50459,2017-09-01T08:21:00,7248.50459
7252.9486,2017-09-01T08:22:00,7252.9486
7255.854082,2017-09-01T08:23:00,7255.854082
7258.521094,2017-09-01T08:24:00,7258.521094
7264.440918,2017-09-01T08:25:00,7264.440918
7269.002474,2017-09-01T08:26:00,7269.002474
7273.211491,2017-09-01T08:27:00,7273.211491
7276.128743,2017-09-01T08:28:00,7276.128743
7279.805293,2017-09-01T08:29:00,7279.805293
7282.207666,2017-09-01T08:30:00,7282.207666
7285.506283,2017-09-01T08:31:00,7285.506283
7287.14126,2017-09-01T08:32:00,7287.14126
7290.969206,2017-09-01T08:33:00,7290.969206
7293.443613,2017-09-01T08:34:00,7293.443613
7296.873457,2017-09-01T08:35:00,7296.873457
7299.622266,2017-09-01T08:36:00,7299.622266
7302.018516,2017-09-01T08:37:00,7302.018516
7307.19873,2017-09-01T08:38:00,7307.19873
7311.691846,2017-09-01T08:39:00,7311.691846
7317.547461,2017-09-01T08:40:00,7317.547461
7320.824609,2017-09-01T08:41:00,7320.824609
7324.04293,2017-09-01T08:42:00,7324.04293
7325.601367,2017-09-01T08:43:00,7325.601367
7328.107246,2017-09-01T08:44:00,7328.107246
7331.249658,2017-09-01T08:45:00,7331.249658
7333.510742,2017-09-01T08:46:00,7333.510742
7335.546859,2017-09-01T08:47:00,7335.546859
7339.060742,2017-09-01T08:48:00,7339.060742
7342.858952,2017-09-01T08:49:00,7342.858952
7344.904785,2017-09-01T08:50:00,7344.904785
7349.427539,2017-09-01T08:51:00,7349.427539
7353.774023,2017-09-01T08:52:00,7353.774023
7358.208008,2017-09-01T08:53:00,7358.208008
7361.222982,2017-09-01T08:54:00,7361.222982
7363.593848,2017-09-01T08:55:00,7363.593848
7365.95127,2017-09-01T08:56:00,7365.95127
7369.411206,2017-09-01T08:57:00,7369.411206
7370.747412,2017-09-01T08:58:00,7370.747412
7372.979211,2017-09-01T08:59:00,7372.979211
7375.951309,2017-09-01T09:00:00,7375.951309
7379.586572,2017-09-01T09:01:00,7379.586572
7381.442456,2017-09-01T09:02:00,7381.442456
7386.525244,2017-09-01T09:03:00,7386.525244
7387.408455,2017-09-01T09:04:00,7387.408455
7392.435107,2017-09-01T09:05:00,7392.435107
7398.141006,2017-09-01T09:06:00,7398.141006
7402.478092,2017-09-01T09:07:00,7402.478092
7404.44082,2017-09-01T09:08:00,7404.44082
7406.609123,2017-09-01T09:09:00,7406.609123
7409.276367,2017-09-01T09:10:00,7409.276367
7411.197041,2017-09-01T09:11:00,7411.197041
7414.665267,2017-09-01T09:12:00,7414.665267
7415.923014,2017-09-01T09:13:00,7415.923014
7419.534863,2017-09-01T09:14:00,7419.534863
7421.898145,2017-09-01T09:15:00,7421.898145
7423.900732,2017-09-01T09:16:00,7423.900732
7427.358679,2017-09-01T09:17:00,7427.358679
7430.284785,2017-09-01T09:18:00,7430.284785
7433.229419,2017-09-01T09:19:00,7433.229419
7434.848525,2017-09-01T09:20:00,7434.848525
7439.552637,2017-09-01T09:21:00,7439.552637
7443.37085,2017-09-01T09:22:00,7443.37085
7447.262231,2017-09-01T09:23:00,7447.262231
7448.011157,2017-09-01T09:24:00,7448.011157
7451.407568,2017-09-01T09:25:00,7451.407568
7453.869694,2017-09-01T09:26:00,7453.869694
7456.331299,2017-09-01T09:27:00,7456.331299
7459.111353,2017-09-01T09:28:00,7459.111353
7459.493164,2017-09-01T09:29:00,7459.493164
7463.357813,2017-09-01T09:30:00,7463.357813
7464.990273,2017-09-01T09:31:00,7464.990273
7468.258838,2017-09-01T09:32:00,7468.258838
7470.094287,2017-09-01T09:33:00,7470.094287
7475.615723,2017-09-01T09:34:00,7475.615723
7476.232422,2017-09-01T09:35:00,7476.232422
7480.34375,2017-09-01T09:36:00,7480.34375
7485.468018,2017-09-01T09:37:00,7485.468018
7488.0375,2017-09-01T09:38:00,7488.0375
7490.788257,2017-09-01T09:39:00,7490.788257
7492.74585,2017-09-01T09:40:00,7492.74585
7496.524316,2017-09-01T09:41:00,7496.524316
7498.623999,2017-09-01T09:42:00,7498.623999
7502.133105,2017-09-01T09:43:00,7502.133105
7503.205119,2017-09-01T09:44:00,7503.205119
7505.466154,2017-09-01T09:45:00,7505.466154
7507.94279,2017-09-01T09:46:00,7507.94279
7510.514375,2017-09-01T09:47:00,7510.514375
7513.835645,2017-09-01T09:48:00,7513.835645
7518.460596,2017-09-01T09:49:00,7518.460596
7520.311023,2017-09-01T09:50:00,7520.311023
7525.368305,2017-09-01T09:51:00,7525.368305
7529.835124,2017-09-01T09:52:00,7529.835124
7533.014668,2017-09-01T09:53:00,7533.014668
7535.650146,2017-09-01T09:54:00,7535.650146
7537.619902,2017-09-01T09:55:00,7537.619902
7539.546387,2017-09-01T09:56:00,7539.546387
7543.53999,2017-09-01T09:57:00,7543.53999
7545.360742,2017-09-01T09:58:00,7545.360742
7549.002148,2017-09-01T09:59:00,7549.002148
7552.134408,2017-09-01T10:00:00,7552.134408
7556.014766,2017-09-01T10:01:00,7556.014766
7558.8575,2017-09-01T10:02:00,7558.8575
7563.156641,2017-09-01T10:03:00,7563.156641
7565.446973,2017-09-01T10:04:00,7565.446973
7569.206152,2017-09-01T10:05:00,7569.206152
7574.080664,2017-09-01T10:06:00,7574.080664
7576.312598,2017-09-01T10:07:00,7576.312598
7579.337207,2017-09-01T10:08:00,7579.337207
7580.482422,2017-09-01T10:09:00,7580.482422
7582.738047,2017-09-01T10:10:00,7582.738047
7586.61418,2017-09-01T10:11:00,7586.61418
7590.23208,2017-09-01T10:12:00,7590.23208
7592.745859,2017-09-01T10:13:00,7592.745859
7596.482031,2017-09-01T10:14:00,7596.482031
7600.202393,2017-09-01T10:15:00,7600.202393
7604.210807,2017-09-01T10:16:00,7604.210807
7607.235889,2017-09-01T10:17:00,7607.235889
7612.599674,2017-09-01T10:18:00,7612.599674
7617.813438,2017-09-01T10:19:00,7617.813438
7619.786523,2017-09-01T10:20:00,7619.786523
7623.044596,2017-09-01T10:21:00,7623.044596
7625.002344,2017-09-01T10:22:00,7625.002344
7628.448242,2017-09-01T10:23:00,7628.448242
7631.874609,2017-09-01T10:24:00,7631.874609
7635.603857,2017-09-01T10:25:00,7635.603857
7639.357051,2017-09-01T10:26:00,7639.357051
7642.152588,2017-09-01T10:27:00,7642.152588
7647.115479,2017-09-01T10:28:00,7647.115479
7648.906836,2017-09-01T10:29:00,7648.906836
7653.37041,2017-09-01T10:30:00,7653.37041
7658.343229,2017-09-01T10:31:00,7658.343229
7661.739551,2017-09-01T10:32:00,7661.739551
7665.821517,2017-09-01T10:33:00,7665.821517
7668.112354,2017-09-01T10:34:00,7668.112354
7670.329199,2017-09-01T10:35:00,7670.329199
7673.057227,2017-09-01T10:36:00,7673.057227
7676.246631,2017-09-01T10:37:00,7676.246631
7680.759391,2017-09-01T10:38:00,7680.759391
7685.467432,2017-09-01T10:39:00,7685.467432
7688.374902,2017-09-01T10:40:00,7688.374902
7692.486865,2017-09-01T10:41:00,7692.486865
7696.421908,2017-09-01T10:42:00,7696.421908
7702.089233,2017-09-01T10:43:00,7702.089233
7703.205485,2017-09-01T10:44:00,7703.205485
7705.544824,2017-09-01T10:45:00,7705.544824
7707.609488,2017-09-01T10:46:00,7707.609488
7710.1993,2017-09-01T10:47:00,7710.1993
7713.933757,2017-09-01T10:48:00,7713.933757
7715.838809,2017-09-01T10:49:00,7715.838809
7719.738672,2017-09-01T10:50:00,7719.738672
7721.471729,2017-09-01T10:51:00,7721.471729
7723.517627,2017-09-01T10:52:00,7723.517627
7729.430005,2017-09-01T10:53:00,7729.430005
7731.426758,2017-09-01T10:54:00,7731.426758
7735.773055,2017-09-01T10:55:00,7735.773055
7740.361353,2017-09-01T10:56:00,7740.361353
7744.391846,2017-09-01T10:57:00,7744.391846
7746.098115,2017-09-01T10:58:00,7746.098115
7748.635205,2017-09-01T10:59:00,7748.635205
7749.633789,2017-09-01T11:00:00,7749.633789
7752.77583,2017-09-01T11:01:00,7752.77583
7755.542324,2017-09-01T11:02:00,7755.542324
7758.428687,2017-09-01T11:03:00,7758.428687
7760.792969,2017-09-01T11:04:00,7760.792969
7764.659391,2017-09-01T11:05:00,7764.659391
7768.618896,2017-09-01T11:06:00,7768.618896
7772.632145,2017-09-01T11:07:00,7772.632145
7774.283613,2017-09-01T11:08:00,7774.283613
7776.650391,2017-09-01T11:09:00,7776.650391
7782.091443,2017-09-01T11:10:00,7782.091443
7784.584741,2017-09-01T11:11:00,7784.584741
7788.676554,2017-09-01T11:12:00,7788.676554
7789.6896,2017-09-01T11:13:00,7789.6896
7792.956799,2017-09-01T11:14:00,7792.956799
7795.47478,2017-09-01T11:15:00,7795.47478
7797.295386,2017-09-01T11:16:00,7797.295386
7800.478916,2017-09-01T11:17:00,7800.478916
